display,id,object_type,natural_slug,log_level,grouping,message,log_object,absolute_url,job_result__id,created
Running job,1982e86e-30d0-46a1-9693-7739472b8a28,extras.joblogentry,unknown,info,initialization,Running job,SE350 Host Verification (SSH),/extras/jobs/e3fe9555-6dba-4dbc-8c63-951311bb6cfd/,54e10f5b-21a4-44bc-be00-e1241ad55665,2026-08-10T09:36:21.064688-05:00
FAIL: §4 disk inventory + install filter — disk_filter {'ID_PATH': 'pci-0000:05:00.0-ata-1.0'} matches NO disk on this unit — an install here would fail-closed; capture the inventory above and update the profile for this hardware revision,09c7bd9c-30c1-4ea9-aac4-f2997b3801eb,extras.joblogentry,unknown,error,run,FAIL: §4 disk inventory + install filter — disk_filter {'ID_PATH': 'pci-0000:05:00.0-ata-1.0'} matches NO disk on this unit — an install here would fail-closed; capture the inventory above and update the profile for this hardware revision,,,54e10f5b-21a4-44bc-be00-e1241ad55665,2026-08-10T09:36:23.063527-05:00
"FAIL: §4 boot adapter topology — boot adapter 0000:05:00.0 NOT in lspci — storage controllers: system> Error: Command not recognized. Type 'help' to get list of supported commands. 
system>",b25f2c11-7bb4-4af5-99c3-63b3f93dc3ed,extras.joblogentry,unknown,error,run,"FAIL: §4 boot adapter topology — boot adapter 0000:05:00.0 NOT in lspci — storage controllers: system> Error: Command not recognized. Type 'help' to get list of supported commands. 
system>",,,54e10f5b-21a4-44bc-be00-e1241ad55665,2026-08-10T09:36:23.332012-05:00
"INFO: §5 DMI serial vs SoT — DMI serial = ""system> Error: Command not recognized. Type 'help' to get list of supported commands. \r\nsystem>"" (this is the answer-service lookup key; no Device supplied to compare against)",8a82da4f-e2a2-44ec-8a28-bbd7d0f23cc1,extras.joblogentry,unknown,info,run,"INFO: §5 DMI serial vs SoT — DMI serial = ""system> Error: Command not recognized. Type 'help' to get list of supported commands. \r\nsystem>"" (this is the answer-service lookup key; no Device supplied to compare against)",,,54e10f5b-21a4-44bc-be00-e1241ad55665,2026-08-10T09:36:23.652677-05:00
SKIP: §6 X722 disable-fw-lldp — no i40e (X722) interfaces found on this unit,f4c413e9-403a-46f1-aec9-56465670a186,extras.joblogentry,unknown,info,run,SKIP: §6 X722 disable-fw-lldp — no i40e (X722) interfaces found on this unit,,,54e10f5b-21a4-44bc-be00-e1241ad55665,2026-08-10T09:36:23.968008-05:00
"INFO: §9 Secure Boot state — Secure Boot (host view): system> Error: Command not recognized. Type 'help' to get list of supported commands. 
system>",6089e49e-99b0-4a0b-b4c6-79dd78e97cc9,extras.joblogentry,unknown,info,run,"INFO: §9 Secure Boot state — Secure Boot (host view): system> Error: Command not recognized. Type 'help' to get list of supported commands. 
system>",,,54e10f5b-21a4-44bc-be00-e1241ad55665,2026-08-10T09:36:24.269311-05:00
INFO: BIOS-effect readbacks — BIOS-effect readbacks — system> Error: Command not recognized. Type 'help' to get list of supported commands. ; system>,f4cad1d6-7759-419d-ab97-81ea6edb57e3,extras.joblogentry,unknown,info,run,INFO: BIOS-effect readbacks — BIOS-effect readbacks — system> Error: Command not recognized. Type 'help' to get list of supported commands. ; system>,,,54e10f5b-21a4-44bc-be00-e1241ad55665,2026-08-10T09:36:24.587153-05:00
